Title,Author,weeks on bestseller list
GONE GIRL,Gillian Flynn,131
THE GIRL ON THE TRAIN,Paula Hawkins,107
ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,96
FIFTY SHADES OF GREY,E L James,93
THE NIGHTINGALE,Kristin Hannah,76
FIFTY SHADES DARKER,E L James,74
A GAME OF THRONES,George R R Martin,68
FIFTY SHADES FREED,E L James,65
THE HELP,Kathryn Stockett,60
THE HUSBAND'S SECRET,Liane Moriarty,60
ORPHAN TRAIN,Christina Baker Kline,54
THE GOLDFINCH,Donna Tartt,52
THE MARTIAN,Andy Weir,50
THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,45
A MAN CALLED OVE,Fredrik Backman,44
WATER FOR ELEPHANTS,Sara Gruen,41
THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,40
INFERNO,Dan Brown,39
THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,33
ME BEFORE YOU,Jojo Moyes,33
SYCAMORE ROW,John Grisham,31
BIG LITTLE LIES,Liane Moriarty,31
ENDER'S GAME,Orson Scott Card,30
BARED TO YOU,Sylvia Day,29
DARK PLACES,Gillian Flynn,29
GRAY MOUNTAIN,John Grisham,28
THE LONGEST RIDE,Nicholas Sparks,28
OUTLANDER,Diana Gabaldon,27
ROGUE LAWYER,John Grisham,25
THE BEST OF ME,Nicholas Sparks,25
THE RACKETEER,John Grisham,25
FIFTY SHADES TRILOGY,E L James,23
THE LITIGATORS,John Grisham,22
ROOM,Emma Donoghue,22
AFTER YOU,Jojo Moyes,21
AND THE MOUNTAINS ECHOED,Khaled Hosseini,21
THE LIGHT BETWEEN OCEANS,M L Stedman,21
A DANCE WITH DRAGONS,George R R Martin,20
SAFE HAVEN,Nicholas Sparks,20
THE UNDERGROUND RAILROAD,Colson Whitehead,20
11/22/63,Stephen King,20
GO SET A WATCHMAN,Harper Lee,19
THE INVENTION OF WINGS,Sue Monk Kidd,19
CUTTING FOR STONE,Abraham Verghese,19
THE MARRIAGE BARGAIN,Jennifer Probst,19
SEE ME,Nicholas Sparks,18
LIFE OF PI,Yann Martel,18
THE MILL RIVER RECLUSE,Darcie Chan,17
THE LUCKY ONE,Nicholas Sparks,17
SMALL GREAT THINGS,Jodi Picoult,16
MILK AND HONEY,Rupi Kaur,16
TWO BY TWO,Nicholas Sparks,16
A CLASH OF KINGS,George R R Martin,16
GREY,E L James,16
THE WHISTLER,John Grisham,16
DEFENDING JACOB,William Landay,16
THE CASUAL VACANCY,J K Rowling,15
DOCTOR SLEEP,Stephen King,15
MEMORY MAN,David Baldacci,15
THE MURDER HOUSE,James Patterson and David Ellis,15
THE PARIS WIFE,Paula McLain,15
THE LINCOLN LAWYER,Michael Connelly,15
THE WOMAN IN CABIN 10,Ruth Ware,15
THE FORGOTTEN,David Baldacci,15
LUCKIEST GIRL ALIVE,Jessica Knoll,15
UNFINISHED BUSINESS,Nora Roberts,14
THE CONFESSION,John Grisham,14
THE GIRL IN THE SPIDER'S WEB,David Lagercrantz,14
THE ESCAPE,David Baldacci,14
THE CUCKOO'S CALLING,Robert Galbraith,13
LEAVING TIME,Jodi Picoult,13
STILL ALICE,Lisa Genova,13
THE SILVER LININGS PLAYBOOK,Matthew Quick,13
THE BURNING ROOM,Michael Connelly,12
ABRAHAM LINCOLN: VAMPIRE HUNTER,Seth Grahame-Smith,12
ZOO,James Patterson and Michael Ledwidge,12
SARAH’S KEY,Tatiana de Rosnay,12
REFLECTED IN YOU,Sylvia Day,12
PERSONAL,Lee Child,11
THE LAST MILE,David Baldacci,11
THE INNOCENT,David Baldacci,11
THE NEST,Cynthia D'Aprix Sweeney,11
MAKE ME,Lee Child,11
THE ABBEY,Chris Culver,11
EXTREMELY LOUD AND INCREDIBLY CLOSE,Jonathan Safran Foer,11
A DOG'S PURPOSE,W Bruce Cameron,11
THE STRANGER,Harlan Coben,10
NEVER GO BACK,Lee Child,10
A SPOOL OF BLUE THREAD,Anne Tyler,10
THE AFFAIR,Lee Child,10
A DISCOVERY OF WITCHES,Deborah Harkness,10
ALEX CROSS_ RUN,James Patterson,10
THE LIAR,Nora Roberts,10
DARK WITCH,Nora Roberts,10
KILL ALEX CROSS,James Patterson,10
TRULY MADLY GUILTY,Liane Moriarty,10
TRICKY TWENTY-TWO,Janet Evanovich,10
THE GUILTY,David Baldacci,10
WHISKEY BEACH,Nora Roberts,10
DRAGONFLY IN AMBER,Diana Gabaldon,10
SOMETHING BORROWED,Emily Giffin,10
BEFORE THE FALL,Noah Hawley,9
ZERO DAY,David Baldacci,9
CROSS THE LINE,James Patterson,9
THE CROSSING,Michael Connelly,9
COMMAND AUTHORITY,Tom Clancy with Mark Greaney,9
THE CHOICE,Nicholas Sparks,9
THE TARGET,David Baldacci,9
SMOKIN’ SEVENTEEN,Janet Evanovich,9
11TH HOUR,James Patterson and Maxine Paetro,9
THE COLLECTOR,Nora Roberts,9
CALICO JOE,John Grisham,9
THE NEXT ALWAYS,Nora Roberts,9
HOPE TO DIE,James Patterson,9
EXPLOSIVE EIGHTEEN,Janet Evanovich,9
THE STORYTELLER,Jodi Picoult,9
ON THE ISLAND,Tracey Garvis-Graves,9
TAKEDOWN TWENTY,Janet Evanovich,9
THE HIT,David Baldacci,9
NOW YOU SEE HER,James Patterson and Michael Ledwidge,9
THE WRONG SIDE OF GOODBYE,Michael Connelly,9
TICK TOCK,James Patterson and Michael Ledwidge,9
THE DROP,Michael Connelly,9
THE BLACK BOX,Michael Connelly,9
10TH ANNIVERSARY,James Patterson and Maxine Paetro,9
THE REVENANT,Michael Punke,9
DEATH COMES TO PEMBERLEY,P D James,9
NO MAN'S LAND,David Baldacci,9
MERRY CHRISTMAS_ ALEX CROSS,James Patterson,8
THE SILENT WIFE,A S A Harrison,8
BEAUTIFUL DISASTER,Jamie McGuire,8
COMMONWEALTH,Ann Patchett,8
A WANTED MAN,Lee Child,8
THE FIFTH WITNESS,Michael Connelly,8
STATE OF WONDER,Ann Patchett,8
THE CHRISTMAS WEDDING,James Patterson and Richard DiLallo,8
15TH AFFAIR,James Patterson and Maxine Paetro,8
THE SIXTH MAN,David Baldacci,8
THE RUMOR,Elin Hilderbrand,8
14TH DEADLY SIN,James Patterson and Maxine Paetro,8
THE GODS OF GUILT,Michael Connelly,8
THE FIRST PHONE CALL FROM HEAVEN,Mitch Albom,8
EDGE OF ETERNITY,Ken Follett,8
IN THE UNLIKELY EVENT,Judy Blume,8
SECOND HONEYMOON,James Patterson and Howard Roughan,8
THE ALCHEMIST,Paulo Coelho,8
INVISIBLE,James Patterson and David Ellis,8
THE BAZAAR OF BAD DREAMS,Stephen King,8
WORLD WAR Z,Max Brooks,8
NIGHT SCHOOL,Lee Child,8
FLESH AND BLOOD,Patricia Cornwell,8
THE WEDDING DRESS,Rachel Hauck,8
THE GIRLS,Emma Cline,8
THE LAST ANNIVERSARY,Liane Moriarty,8
PRIVATE: #1 SUSPECT,James Patterson and Maxine Paetro,8
THE LAST BOYFRIEND,Nora Roberts,7
REVIVAL,Stephen King,7
A WEEK IN WINTER,Maeve Binchy,7
SIX YEARS,Harlan Coben,7
THE TIME KEEPER,Mitch Albom,7
CROSS MY HEART,James Patterson,7
THE FIXED TRILOGY,Laurelin Paige,7
GUILTY WIVES,James Patterson and David Ellis,7
THE MARRIAGE PLOT,Jeffrey Eugenides,7
DON'T SAY A WORD,Barbara Freethy,7
THE OBSESSION,Nora Roberts,7
MR. MERCEDES,Stephen King,7
NOTORIOUS NINETEEN,Janet Evanovich,7
12TH OF NEVER,James Patterson and Maxine Paetro,7
JANUARY,Audrey Carlan,7
HOPELESS,Colleen Hoover,7
CAPTIVATED BY YOU,Sylvia Day,7
WHERE WE BELONG,Emily Giffin,7
KING AND MAXWELL,David Baldacci,7
